source_image,particle_id,area,perimeter,eccentricity,solidity,equivalent_diameter,centroid_x,centroid_y,min_intensity,max_intensity,mean_intensity
11500X00.png,313,15.0,12.242640687119284,0.7112392570688577,0.8823529411764706,4.370193722368317,288.06666666666666,247.53333333333333,0.6799706220626831,0.8522282242774963,0.764165
11500X00.png,314,60.0,27.31370849898476,0.7304044521809162,0.9375,8.740387444736633,217.31666666666666,248.96666666666667,0.6352840065956116,0.8847330808639526,0.76857245
11500X00.png,315,8.0,7.82842712474619,0.7950972173652757,0.8888888888888888,3.1915382432114616,30.25,250.0,0.6439152956008911,0.7144343852996826,0.6775832
11500X00.png,316,22.0,15.071067811865476,0.6071397131524265,0.9565217391304348,5.292567428401227,138.0909090909091,249.8181818181818,0.6363247036933899,0.7913810014724731,0.71017164
11500X00.png,317,26.0,16.82842712474619,0.8324219966378947,1.0,5.753627391751592,302.0,250.5,0.6365695595741272,0.7916870713233948,0.6958535
11500X00.png,318,64.0,29.31370849898476,0.7745293159673716,0.927536231884058,9.0270333367641,47.984375,251.046875,0.6337536573410034,0.891221821308136,0.7245797
11500X00.png,319,33.0,22.48528137423857,0.9014187439222258,0.8461538461538461,6.4820448144285745,80.36363636363636,250.03030303030303,0.6349779367446899,0.8879774808883667,0.77275693
11500X00.png,320,95.0,42.14213562373095,0.6888094263623348,0.8189655172413793,10.998079684646791,116.81052631578947,251.53684210526316,0.5400955080986023,0.9746571779251099,0.7434448
11500X00.png,321,60.0,32.970562748477136,0.7593703382146155,0.8108108108108109,8.740387444736633,147.1,250.63333333333333,0.6339985132217407,0.9562316536903381,0.7545279
11500X00.png,322,85.0,34.27817459305202,0.6977848312686085,0.9139784946236559,10.403141895720198,127.68235294117648,252.90588235294118,0.6422624588012695,0.9504162669181824,0.7709562
11500X00.png,323,16.0,12.449747468305834,0.8358677835204048,0.8421052631578947,4.51351666838205,384.375,253.3125,0.6401811838150024,0.7429603338241577,0.6782069
11500X00.png,324,20.0,14.82842712474619,0.7887804965025587,0.9523809523809523,5.046265044040321,396.65,254.15,0.6319172382354736,0.7782198786735535,0.71417415
11500X00.png,325,32.0,20.449747468305834,0.8896455405529526,0.8888888888888888,6.383076486422923,121.4375,255.625,0.5351371169090271,0.9436214566230774,0.74926734
11500X00.png,326,32.0,18.485281374238568,0.7573563954159358,1.0,6.383076486422923,35.8125,254.5,0.6352840065956116,0.829884946346283,0.72514117
11500X00.png,327,23.0,17.65685424949238,0.9137408055869545,0.8214285714285714,5.4115163798060095,43.73913043478261,254.34782608695653,0.6449559330940247,0.9055460095405579,0.7501278
11500X00.png,328,226.0,74.62741699796952,0.924883981303894,0.7661016949152543,16.96325844612841,261.53097345132744,249.3849557522124,0.6308766007423401,0.9993878602981567,0.8879625
